Section,Beam Mark,Fck,Width_mm,Depth_mm,Moment_kNm,Req_BotBar_Area_mm2
5,2B1-S2-M,25,125,600,51.0,201.0
6,2B1-S2-R,25,125,600,37.0,146.0
7,2B1-S3-L,25,125,600,20.0,104.0
8,2B1-S3-M,25,125,600,53.0,209.0
9,2B1-S3-R,25,125,600,37.0,146.0
10,2B1-S4-L,25,125,600,20.0,104.0
11,2B1-S4-M,25,125,600,53.0,209.0
12,2B1-S4-R,25,125,600,37.0,146.0
13,2B1-S5-L,25,125,600,20.0,104.0
14,2B1-S5-M,25,125,600,53.0,209.0
15,2B1-S5-R,25,125,600,37.0,146.0
16,2B1-S6-L,25,125,600,20.0,104.0
17,2B1-S6-M,25,125,600,53.0,209.0
18,2B1-S6-R,25,125,600,38.0,150.0
19,2B1-S7-L,25,125,600,20.0,104.0
20,2B1-S7-M,25,125,600,52.0,205.0
21,2B1-S7-R,25,125,600,38.0,150.0
22,2B1-S8-L,25,125,600,19.0,103.0
23,2B1-S8-M,25,125,600,76.0,306.0
